dataset,model,finetuning_place, eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
'us_births/D/short', 'tabpfn_ts_local',-1, 119112.72, 119112.72, 213.36791666666667, 0.314048423175347, 0.020549596150716144, 0.020335687001546223, 2.3455020139719407, 345.12710702000794, 0.032352865738185285, 0.020001510806720794, 0.015891586785167236, 'Healthcare', 1
'us_births/D/short', 'tabpfn_ts_local',1, 265748.64, 265748.64, 329.29455729166665, 0.48505462282657325, 0.03144258499145508, 0.0311887264251709, 4.013130313195779, 515.5081376661284, 0.048324704798940375, 0.03086869267488408, 0.024475532920882923, 'Healthcare', 1
'us_births/D/short', 'tabpfn_ts_local',2, 183724.53333333333, 183724.53333333333, 249.6375, 0.36753678218972935, 0.024222955703735352, 0.02360326608022054, 4.203628140361828, 428.6309990345231, 0.040180678019545474, 0.023401489933527628, 0.019389908151312737, 'Healthcare', 1
'us_births/D/short', 'tabpfn_ts_local',3, 183744.29333333333, 183744.29333333333, 249.68109375, 0.367600686385046, 0.024225794474283854, 0.023606311480204263, 4.204522926893831, 428.65404854419995, 0.04018283872404169, 0.023405576493847252, 0.01939456754141419, 'Healthcare', 1
'us_births/D/short', 'tabpfn_ts_local',4, 183698.62666666668, 183698.62666666668, 249.62536458333332, 0.36751772867538285, 0.02422120253245036, 0.02360186258951823, 4.203736783678693, 428.6007777252238, 0.04017784501703044, 0.023400352336688357, 0.019389584520066002, 'Healthcare', 1
'us_births/D/short', 'tabpfn_ts_local',5, 128796.33333333333, 128796.33333333333, 235.12651041666666, 0.3462091634896907, 0.022342920303344727, 0.022207164764404298, 2.5954886483098334, 358.88206047855516, 0.03364228100991463, 0.022041202409978887, 0.01762696344243915, 'Healthcare', 1
