dataset,model,finetuning_place, eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
'us_births/D/short', 'tabpfn_ts_local',-1, 119112.72, 119112.72, 213.36791666666667, 0.314048423175347, 0.020549596150716144, 0.020335687001546223, 2.3455020139719407, 345.12710702000794, 0.032352865738185285, 0.020001510806720794, 0.015891586785167236, 'Healthcare', 1
'us_births/D/short', 'tabpfn_ts_local',1, 196395.58666666667, 196395.58666666667, 287.14958333333334, 0.42283318026495625, 0.027296215693155924, 0.02697980562845866, 3.702719169821173, 443.16541682160477, 0.041543161747086714, 0.026917943353028502, 0.021527775256904955, 'Healthcare', 1
'us_births/D/short', 'tabpfn_ts_local',2, 176649.98666666666, 176649.98666666666, 255.9878125, 0.3769005333128507, 0.024574289321899413, 0.024150468508402505, 2.9858722407054383, 420.29749781157, 0.039399479902355636, 0.023996780200588888, 0.019188133045448856, 'Healthcare', 1
'us_births/D/short', 'tabpfn_ts_local',3, 184735.90666666668, 184735.90666666668, 255.97549479166668, 0.3768976694291958, 0.024660579363505044, 0.024187018076578776, 3.5443104892114903, 429.8091514459257, 0.04029112024795907, 0.023995625515385074, 0.019514644712338245, 'Healthcare', 1
'us_births/D/short', 'tabpfn_ts_local',4, 184661.73333333334, 184661.73333333334, 254.73203125, 0.37508992655845697, 0.024569732348124186, 0.02407203992207845, 3.567841415053758, 429.7228564241531, 0.040283030789911606, 0.023879060898478476, 0.019453026243154217, 'Healthcare', 1
'us_births/D/short', 'tabpfn_ts_local',5, 177556.73333333334, 177556.73333333334, 256.56299479166665, 0.37778657596102927, 0.024660936991373696, 0.024206329981486002, 3.067599255729958, 421.3748133590015, 0.0395004694930159, 0.024050698873097548, 0.019343199553127657, 'Healthcare', 1
