PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Dataset_2,Forecast Horizon_2,TS Amount_2,Windows_2,Dataset_3,Forecast Horizon_3,TS Amount_3,Windows_3,Dataset_4,Forecast Horizon_4,TS Amount_4,Windows_4,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39676099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39676100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39676101,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-05,2.0,0.0,0.0,344.91074204444885,0.3285341063758571,0.2384726817073451,0.24554223783803725,360.0,159.0,Early stopping due to no improvement (AdaptiveES).,0.9580859892898136,94.10833333333333
39676102,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-05,2.0,0.0001,0.0,354.73614478111267,0.3285341063758571,0.2342426154556014,0.25466065843399666,370.0,169.0,Early stopping due to no improvement (AdaptiveES).,0.9587473231392938,94.13783783783784
39676103,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-05,2.0,0.0015,0.0,354.4394450187683,0.3285341063758571,0.2376302390442972,0.2534380630495104,370.0,169.0,Early stopping due to no improvement (AdaptiveES).,0.9579454016041111,94.25945945945946
39676104,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-05,4.0,0.0,0.0,320.012980222702,0.3285341063758571,0.26265510277642645,0.2631307108389883,260.0,59.0,Early stopping due to no improvement (AdaptiveES).,1.230820476091825,97.07692307692308
39676105,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-05,4.0,0.0001,0.0,1113.0838317871094,0.3285341063758571,0.23436264509379598,0.2430625170251736,930.0,729.0,Early stopping due to no improvement (AdaptiveES).,1.1968646249463482,97.15053763440861
39676106,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-05,4.0,0.0015,0.0,319.92474126815796,0.3285341063758571,0.25882160897121187,0.2668647613600814,260.0,59.0,Early stopping due to no improvement (AdaptiveES).,1.2304810404777526,96.98076923076923
39676107,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-05,8.0,0.0,0.0,1291.1117193698883,0.3285341063758571,0.24236958666360464,0.24376262327723364,720.0,519.0,Early stopping due to no improvement (AdaptiveES).,1.79321139951547,99.91805555555555
39676108,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-05,8.0,0.0001,0.0,1308.3909087181091,0.3285341063758571,0.2423572803113882,0.2452550712274848,730.0,529.0,Early stopping due to no improvement (AdaptiveES).,1.79231693156778,99.9013698630137
