dataset,model,finetuning_place, eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
'jena_weather/10T/short', 'tabpfn_ts_local',-1, 886.9811537243071, 886.9811537243071, 5.843057462904189, 0.304968529414929, 0.3580315453541094, 0.553594832382505, 2.4820172488329524, 29.78222882398675, 0.18498498350821413, 0.03629271317472165, 0.030527012914156, 'Nature', 21
'jena_weather/10T/short', 'tabpfn_ts_local', 1, 760.5364676278735, 760.5364676278735, 5.682268923804873, 0.3525170463200727, 0.42573028539237173, 0.5705703085140577, 4.145595615571863, 27.577825650835376, 0.17129287580731456, 0.03529401474186154, 0.029301877347687244, 'Nature', 21
'jena_weather/10T/short', 'tabpfn_ts_local', 2, 773.9578035627093, 773.9578035627093, 5.631078810918899, 0.33182216246066604, 0.38535772663268447, 0.5632376393155446, 3.2660359689061136, 27.820097116342158, 0.17279768538070645, 0.03497605995600721, 0.02878963725261004, 'Nature', 21
'jena_weather/10T/short', 'tabpfn_ts_local', 3, 723.107069669451, 723.107069669451, 5.31730943710085, 0.31330589328628244, 0.37272233115896114, 0.5586202623115646, 3.004710323058314, 26.890650227717643, 0.16702465481338066, 0.033027158724197224, 0.02745877759732525, 'Nature', 21
'jena_weather/10T/short', 'tabpfn_ts_local', 4, 722.6165563855852, 722.6165563855852, 5.266714634971013, 0.31436869979008975, 0.37471477294267425, 0.5606573859614039, 2.992136593393903, 26.88152816313807, 0.16696799535462137, 0.032712901564570164, 0.027467432270465792, 'Nature', 21
'jena_weather/10T/short', 'tabpfn_ts_local', 5, 747.8442507183742, 747.8442507183742, 5.435030328659784, 0.32044681720323703, 0.37697371644022054, 0.5599716407912118, 2.9248679523276104, 27.346741135249996, 0.16985755121971566, 0.03375835306536966, 0.028012164661532293, 'Nature', 21
