PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Dataset_2,Forecast Horizon_2,TS Amount_2,Windows_2,Dataset_3,Forecast Horizon_3,TS Amount_3,Windows_3,Dataset_4,Forecast Horizon_4,TS Amount_4,Windows_4,Dataset_5,Forecast Horizon_5,TS Amount_5,Windows_5,Dataset_6,Forecast Horizon_6,TS Amount_6,Windows_6,Dataset_7,Forecast Horizon_7,TS Amount_7,Windows_7,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39638966,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,0.0005,32,0.0,0.0,247.44716620445251,0.2601172420819943,0.2390868401937654,0.2552648148262658,590,389,Early stopping due to no improvement (AdaptiveES).,0.41940266964799267,76.36101694915254
39638967,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,0.0005,32,0.0001,0.0,120.51013469696045,0.2601172420819943,0.2401544598925651,0.41817982097275735,260,49,Early stopping due to no improvement (AdaptiveES).,0.4635010260802049,76.10384615384615
39638968,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,0.0005,32,0.0015,0.0,112.20301961898804,0.2601172420819943,0.2372689564645754,0.3088991007969233,240,39,Early stopping due to no improvement (AdaptiveES).,0.4675130615631739,75.4375
39638969,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,0.0005,64,0.0,0.0,216.50441217422485,0.2601172420819943,0.2345303564058909,0.2593426097958966,370,169,Early stopping due to no improvement (AdaptiveES).,0.5851481070389619,85.52432432432433
39638970,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,0.0005,64,0.0001,0.0,198.085378408432,0.2601172420819943,0.23922596628392304,0.2661136832723869,340,139,Early stopping due to no improvement (AdaptiveES).,0.5826051662949955,86.73823529411764
39638971,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,0.0005,64,0.0015,0.0,204.3871099948883,0.2601172420819943,0.23203094231328988,0.25231677425272975,350,149,Early stopping due to no improvement (AdaptiveES).,0.5839642259052822,85.96571428571428
39638972,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-05,2,0.0,0.0,103.02935600280762,0.2601172420819943,0.23948188968428757,0.243616033124204,270,69,Early stopping due to no improvement (AdaptiveES).,0.381591581415247,16.12962962962963
39638973,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-05,2,0.0001,0.0,101.3722128868103,0.2601172420819943,0.23974573681339714,0.2424029951166657,270,69,Early stopping due to no improvement (AdaptiveES).,0.37545400548864294,16.488888888888887
39638974,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-05,2,0.0015,0.0,105.37491416931152,0.2601172420819943,0.23976005757767968,0.24027995714342085,280,69,Early stopping due to no improvement (AdaptiveES).,0.3763402444975717,16.35
39638975,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-05,4,0.0,0.0,89.9176995754242,0.2601172420819943,0.2458986206715285,0.24822976812248035,230,29,Early stopping due to no improvement (AdaptiveES).,0.3909477430841197,21.97826086956522
39638976,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-05,4,0.0001,0.0,89.70371055603027,0.2601172420819943,0.24586725315352329,0.24840849478437702,230,29,Early stopping due to no improvement (AdaptiveES).,0.3900175820226255,21.717391304347824
