dataset, pids
hospital,39704063 39704064 39704065 39704066 39704067
covid_deaths,39704077 39704078 39704079 39704080 39704081
electricity/W,39704088 39704089 39704090 39704091 39704092
ett1/W,39704098 39704099 39704100 39704101 39704102
ett2/W,39704104 39704105 39704106 39704107 39704108
,
M_DENSE/H,39704161 39704162 39704163 39704164 39704165
,
LOOP_SEATTLE/D,39704177 39704178 39704179 39704180 39704181
