dataset,model,finetuning_place, eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
'covid_deaths/D/short', 'tabpfn_ts_local', -1, 2262250.121303258, 2262250.121303258, 241.75379072681704, 45.76280804108291, 0.125465847550748, 0.1876985656650713, 690.9013247307225, 1504.0778308662282, 0.5659165768650937, 0.09096103598142093, 0.06747812756512196, 'Healthcare', 1
'covid_deaths/D/short', 'tabpfn_ts_local',1, 1532719.0135338346, 1532719.0135338346, 197.8000039160401, 40.25332995681603, 0.10912140213908458, 0.16086790941367018, 789.1687060468664, 1238.030295886912, 0.4658149018126929, 0.07442321056989455, 0.06144746027903828, 'Healthcare', 1
'covid_deaths/D/short', 'tabpfn_ts_local',2, 1592642.373934837, 1592642.373934837, 205.31675673558897, 40.62113160894764, 0.1130157100953152, 0.16742312897910688, 766.7928499114778, 1261.9993557584874, 0.47483337681101423, 0.07725142526562626, 0.06244887554456318, 'Healthcare', 1
'covid_deaths/D/short', 'tabpfn_ts_local',3, 2845253.7423558896, 2845253.7423558896, 249.71278195488722, 41.37263974459813, 0.11410575722540747, 0.1680238830478838, 806.0160423329392, 1686.7879956757724, 0.6346621623032654, 0.09395564502269294, 0.06955144624448645, 'Healthcare', 1
'covid_deaths/D/short', 'tabpfn_ts_local',4, 2759141.694235589, 2759141.694235589, 261.8903195488722, 43.40066008662185, 0.12373353591406137, 0.177983507022283, 718.8141258652935, 1661.066432818263, 0.624984299558916, 0.09853750258910957, 0.07304880432170667, 'Healthcare', 1
'covid_deaths/D/short', 'tabpfn_ts_local',5, 4820872.276691729, 4820872.276691729, 380.6063439849624, 49.84906765502852, 0.14703284846434736, 0.20975211319998655, 854.8363539581225, 2195.6484865960965, 0.8261233893846271, 0.14320498241574378, 0.1192834948079265, 'Healthcare', 1
