dataset,model,finetuning_place, eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
'ett2/D/short', 'tabpfn_ts_local',-1, 724962.0825396825, 724962.0825396825, 350.5547867063492, 2.115565684917308, 0.5178580147879465, 0.1703398204985119, 28.128594625825187, 851.447052105815, 0.48730561259287336, 0.2006317535081109, 0.14765765780171294, 'Energy', 7
'ett2/D/short', 'tabpfn_ts_local',1, 177000.58412698412, 177000.58412698412, 285.5367063492063, 1.9889465934183457, 0.32440398685515875, 0.24252760145399305, 17.90442936452618, 420.71437356832024, 0.240785936167477, 0.16342019067553137, 0.13180581110347223, 'Energy', 7
'ett2/D/short', 'tabpfn_ts_local',2, 137570.12063492063, 137570.12063492063, 237.80992063492064, 1.668727755816673, 0.3220367431640625, 0.19956401037791419, 14.503969281670562, 370.9044629482377, 0.21227841012944096, 0.13610489198247955, 0.10987998433989542, 'Energy', 7
'ett2/D/short', 'tabpfn_ts_local',3, 176984.90158730157, 176984.90158730157, 266.2420882936508, 1.8211190710564134, 0.31545228503999256, 0.23370312887524802, 13.584195596976425, 420.6957351665234, 0.24077526891837103, 0.15237737169101098, 0.12043869808565155, 'Energy', 7
'ett2/D/short', 'tabpfn_ts_local',4, 132112.8, 132112.8, 220.4607142857143, 1.3946526633073475, 0.4221620105561756, 0.1395451136997768, 15.194989871371424, 363.4732452327131, 0.20802532816478028, 0.12617548344545934, 0.10844003448360733, 'Energy', 7
'ett2/D/short', 'tabpfn_ts_local',5, 170919.44126984128, 170919.44126984128, 278.87400793650795, 1.8541602975979605, 0.2662828717912946, 0.2476018512059772, 15.40454873639844, 413.42404534550394, 0.2366134889767372, 0.159606952584576, 0.12349491266843793, 'Energy', 7
