dataset,context_length,num_series,ckpt_1_delta_pct,ckpt_2_delta_pct,ckpt_3_delta_pct,ckpt_4_delta_pct,ckpt_5_delta_pct,mean_delta_pct,min_delta_pct,max_delta_pct,improved
ett2/D/short,short,7,-28.62304047579044,-25.36326429394264,-8.4014503230827,-8.000855398476123,-25.767198421080245,-19.23116178247443,-28.62304047579044,-8.000855398476123,True
jena_weather/D/short,short,21,1.1703919194674945,1.609563573801305,-8.624060380609013,-10.91065615876669,-8.561035252004084,-5.063159259622198,-10.91065615876669,1.609563573801305,True
bitbrains_rnd/H/short,short,2,0.060123243755621926,-3.6580180897933334,-3.24309494120144,-4.161430863449138,-3.4244841616374817,-2.8853809624651543,-4.161430863449138,0.060123243755621926,True
saugeen/D/short,short,1,6.074080075163221,-6.762800412495347,-11.991916474888587,-2.342547099687554,3.8863492597821665,-2.22736693042522,-11.991916474888587,6.074080075163221,True
saugeen/W/short,short,1,-2.5692003100659324,-2.4761452986208967,-1.981237014826577,-0.13657658107304604,1.0358372292722815,-1.225464395062834,-2.5692003100659324,1.0358372292722815,True
saugeen/M/short,short,1,-3.2300202861667975,2.4691411240907106,-3.41665756908563,-3.4937114530130717,3.6413007212332844,-0.8059894925883008,-3.4937114530130717,3.6413007212332844,True
loop_seattle/D/short,short,1,0.6294759829415605,-1.9105129702102819,0.5665751682420146,-0.6092866018632179,-1.3177886976202218,-0.5283074237020292,-1.9105129702102819,0.6294759829415605,True
hierarchical_sales/D/short,short,1,0.05951151400125194,-0.5902991131650265,0.960922510997737,1.4528533402799275,-1.8893135601312026,-0.001265061603462536,-1.8893135601312026,1.4528533402799275,True
ett1/15T/short,short,7,-5.4691600997364525,-2.813482075909892,7.7885333876817615,2.524713276191876,3.104639322773653,1.0270487622001891,-5.4691600997364525,7.7885333876817615,False
sz_taxi/15T/short,short,1,0.3752668840629264,-0.26717251488736155,1.1974060355505212,2.544018487794697,1.5393808287455666,1.07777994425327,-0.26717251488736155,2.544018487794697,False
ett1/D/short,short,7,-6.592239481314263,-3.736139183287738,1.7515893806889917,12.759845849951096,2.518234008341489,1.3402581148759154,-6.592239481314263,12.759845849951096,False
sz_taxi/H/short,short,1,1.0666252509101641,-0.4257318184255239,1.6488322587927602,4.388349619527975,1.2603032691301257,1.5876757159871002,-0.4257318184255239,4.388349619527975,False
hierarchical_sales/W/short,short,1,1.4910111340134253,-0.2206983423380937,2.6007243692756163,3.1705481876324026,2.5971717704763773,1.9277514238119455,-0.2206983423380937,3.1705481876324026,False
electricity/W/short,short,1,3.8673217874404524,0.17278825421369562,5.801957286706888,4.421852688629168,3.7189946605564272,3.596582935509326,0.17278825421369562,5.801957286706888,False
ett2/H/short,short,7,-3.159939508240413,-1.6394509351864193,3.186844730541284,14.189431071699177,6.887486909087603,3.8928744535802466,-3.159939508240413,14.189431071699177,False
electricity/D/short,short,1,5.196025224756476,3.327829377866283,6.505490801392298,4.399594197687843,2.240930993685025,4.333974119077586,2.240930993685025,6.505490801392298,False
ett1/H/short,short,7,2.2246804476359334,0.7589311825282709,8.916250888131211,7.3659282574891165,7.587213524634376,5.370600860083782,0.7589311825282709,8.916250888131211,False
ett1/W/short,short,7,-0.6977047321736375,2.6611402039272254,14.769896677536432,3.0000606629709514,8.444435112964348,5.6355655850450646,-0.6977047321736375,14.769896677536432,False
m_dense/H/short,short,1,6.000830553203761,-0.1557898439960869,4.664976089214636,13.619044350129078,4.4421927102336936,5.714250771757016,-0.1557898439960869,13.619044350129078,False
ett2/15T/short,short,7,-2.840991249032542,1.2380481214439798,5.130279917684466,11.157989784140247,16.645430722766886,6.266151459400607,-2.840991249032542,16.645430722766886,False
jena_weather/H/short,short,21,13.090053509777821,10.875522219398158,14.26257781671022,19.84296610628917,11.867110200260639,13.987645970487202,10.875522219398158,19.84296610628917,False
m_dense/D/short,short,1,-0.3037032574442572,5.517487284073011,30.721569713255697,28.279755437266722,10.358684784648796,14.914758792359994,-0.3037032574442572,30.721569713255697,False
covid_deaths/D/short,short,1,-2.21575027478602,-3.8807134843541133,15.132143042496399,52.64826572619798,12.90649667611126,14.9180883371331,-3.8807134843541133,52.64826572619798,False
solar/D/short,short,1,3.4743180277205736,15.457731368975514,26.73140050246899,17.152820192694985,18.706131850728102,16.304480388517632,3.4743180277205736,26.73140050246899,False
hospital/M/short,short,1,24.66759747856001,9.633263375247232,17.927275082513063,13.54250848923153,16.367826234663635,16.427694132043094,9.633263375247232,24.66759747856001,False
us_births/W/short,short,1,-2.838448921461481,8.501997375181345,20.966408299202357,45.78809828624929,23.07912314383441,19.099435636601182,-2.838448921461481,45.78809828624929,False
jena_weather/10T/short,short,21,17.86708759887019,12.034794210446973,32.109295234971036,25.60955652953275,21.199469447217787,21.764040604207747,12.034794210446973,32.109295234971036,False
us_births/D/short,short,1,15.888607037683562,29.00942511853936,30.137588151318706,29.181100004371764,21.628172444969955,25.16897855137667,15.888607037683562,30.137588151318706,False
solar/W/short,short,1,52.52536033095494,43.66214654964169,28.161577694950278,13.75348603398486,32.076441165812504,34.03580235506885,13.75348603398486,52.52536033095494,False
