dataset,model,finetuning_place, eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
'saugeen/W/short', 'tabpfn_ts_local',-1, 976.89345703125, 976.89345703125, 15.673854064941406, 1.2714440078934977, 0.4335827350616455, 0.41521730422973635, 9.723476610071836, 31.255294863930654, 0.943467065037054, 0.4731283181568956, 0.3818939604392026, 'Nature', 1
'saugeen/W/short', 'tabpfn_ts_local',1, 1201.26669921875, 1201.26669921875, 16.924345397949217, 1.3729276417044152, 0.42323689460754393, 0.4450892448425293, 16.189992363429525, 34.65929455743077, 1.046219626297316, 0.510875438858952, 0.4288460142213206, 'Nature', 1
'saugeen/W/short', 'tabpfn_ts_local',2, 1016.8986328125, 1016.8986328125, 15.271401977539062, 1.2386481703215548, 0.3851278305053711, 0.40589399337768556, 11.396156019066066, 31.88884809478856, 0.9625913961260579, 0.4609799672495519, 0.3806672878041678, 'Nature', 1
'saugeen/W/short', 'tabpfn_ts_local',3, 983.2515625, 983.2515625, 15.503904724121094, 1.25781238539141, 0.4515681266784668, 0.4155686378479004, 12.1681880949641, 31.35684235537756, 0.94653236050569, 0.46799825598705314, 0.38798102192616385, 'Nature', 1
'saugeen/W/short', 'tabpfn_ts_local',4, 1288.2443359375, 1288.2443359375, 17.526591491699218, 1.4219081466990109, 0.44998993873596194, 0.46231651306152344, 15.942867997905912, 35.892120805791066, 1.0834335117303218, 0.5290547379816762, 0.4316966949124798, 'Nature', 1
'saugeen/W/short', 'tabpfn_ts_local',5, 1116.5626953125, 1116.5626953125, 17.22638854980469, 1.3971805436434228, 0.48857879638671875, 0.4685554027557373, 17.02772968695272, 33.415007037445015, 1.008659772849958, 0.5199928625542402, 0.43407302369617506, 'Nature', 1
