dataset,context_length,trained_on,num_series,ckpt_1_delta_pct,ckpt_2_delta_pct,ckpt_3_delta_pct,ckpt_4_delta_pct,ckpt_5_delta_pct,mean_delta_pct,min_delta_pct,max_delta_pct,improved
ett1/15T/short,big,False,7,-2.9834755797082044,-4.998671575293734,-7.944424077192787,-7.194691294431413,-5.87807461958279,-5.799867429241786,-7.944424077192787,-2.9834755797082044,True
ett1/H/short,big,False,7,-0.02883148428638893,-4.93771672184684,-2.682906027181024,-2.6440987870686756,-2.6008173471057963,-2.578874073497745,-4.93771672184684,-0.02883148428638893,True
loop_seattle/D/short,medium,False,1,-1.9173747271780968,-1.9594338097433468,-2.8040004981547835,-2.617602197426078,-2.0689678737540786,-2.2734758212512767,-2.8040004981547835,-1.9173747271780968,True
hierarchical_sales/D/short,big,True,1,-1.3549251378589744,-1.4411712815429971,-0.3349976054105823,-0.30128553114434986,-1.6150273494011602,-1.0094813810716128,-1.6150273494011602,-0.30128553114434986,True
ett2/H/short,big,False,7,-1.7924880827906342,-4.050699147388016,-0.4669244621149057,-0.8093539586974641,2.609963044660628,-0.9019005212660787,-4.050699147388016,2.609963044660628,True
electricity/D/short,big,True,1,1.6530151204966297,-3.17845152170363,-0.7721246323576826,-0.6254169825488047,-0.4523577080528113,-0.6750671448332598,-3.17845152170363,1.6530151204966297,True
ett2/15T/short,big,False,7,1.769704985690205,-0.42050762286207477,-1.672461341462914,-1.3605460267918579,0.2013597478345848,-0.29649005151841135,-1.672461341462914,1.769704985690205,True
sz_taxi/15T/short,big,True,1,0.05440717531402588,-0.2735257097421729,0.20411529334673742,0.21620977380667933,0.05454121115852918,0.05114954877675979,-0.2735257097421729,0.21620977380667933,False
m_dense/H/short,big,True,1,1.01399553136815,-1.631616616413055,2.1238205538106962,2.0993006369261273,-2.21011739394041,0.2790765423503017,-2.21011739394041,2.1238205538106962,False
covid_deaths/D/short,short,False,1,23.562058939154586,77.3384339461042,49.68084565452106,49.194602364384856,44.23335352304301,48.80185888544154,23.562058939154586,77.3384339461042,False
saugeen/D/short,big,False,1,1.8214799013874912,-2.55259628942867,-4.334038148259582,-2.0116258081048946,2.0793566877587266,-0.9994847313293856,-4.334038148259582,2.0793566877587266,True
us_births/D/short,big,False,1,34.639485207308276,20.0135092231973,,20.01259729897046,19.4369717784024,23.525640876969607,19.4369717784024,34.639485207308276,False
