dataset,model,finetuning_place, eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
'solar/D/short', 'tabpfn_ts_local',-1, 117111.76253041363, 117111.76253041363, 256.18147810218977, 0.998390550247466, 0.9912451231276612, 0.44117253435789233, 5.129659313104967, 342.2159589066729, 0.49438551122814767, 0.3700949874557823, 0.27268752287128334, 'Energy', 1
'solar/D/short', 'tabpfn_ts_local', 1, 154288.9304136253, 154288.9304136253, 257.9637925790754, 1.0085195923635248, 1.1884190914404653, 0.4246215077792351, 5.1011826805863, 392.7962963338953, 0.5674568725315202, 0.37266982486733835, 0.2860567092821933, 'Energy', 1
'solar/D/short', 'tabpfn_ts_local', 2, 152893.8588807786, 152893.8588807786, 257.9309762773723, 1.0085320893925986, 1.182786600897202, 0.42528475647715175, 5.109512239077215, 391.0164432358038, 0.5648855909740433, 0.37262241648771177, 0.28443001865674766, 'Energy', 1
'solar/D/short', 'tabpfn_ts_local', 3, 135934.08467153285, 135934.08467153285, 248.87335766423357, 0.9712795990225258, 1.1030206610686588, 0.4200523580657885, 5.003783319277617, 368.6923984455509, 0.5326349492109598, 0.3595372423687942, 0.2737067532883139, 'Energy', 1
'solar/D/short', 'tabpfn_ts_local', 4, 150609.50267639902, 150609.50267639902, 257.10552767639905, 1.004073953786236, 1.1558616025604471, 0.4256075002851277, 5.498728034490224, 388.0844014855519, 0.5606497892181238, 0.3714299243845132, 0.29440753344966625, 'Energy', 1
'solar/D/short', 'tabpfn_ts_local', 5, 133594.86520681265, 133594.86520681265, 256.92381386861314, 1.0029657700156334, 1.0502429525927615, 0.43750264337173056, 5.3605434502471, 365.5063134978829, 0.5280321415549359, 0.3711674098190136, 0.28133872552929623, 'Energy', 1
