PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Dataset_2,Forecast Horizon_2,TS Amount_2,Windows_2,Dataset_3,Forecast Horizon_3,TS Amount_3,Windows_3,Dataset_4,Forecast Horizon_4,TS Amount_4,Windows_4,Dataset_5,Forecast Horizon_5,TS Amount_5,Windows_5,Dataset_6,Forecast Horizon_6,TS Amount_6,Windows_6,Dataset_7,Forecast Horizon_7,TS Amount_7,Windows_7,Dataset_8,Forecast Horizon_8,TS Amount_8,Windows_8,Dataset_9,Forecast Horizon_9,TS Amount_9,Windows_9,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39638129,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,0.0005,16,0.0015,0.0,343.29588317871094,0.38732843924593524,0.3359610293912725,0.3411738739932205,490,289,Early stopping due to no improvement (AdaptiveES).,0.7006046397345407,96.83877551020409
39638130,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,0.0005,32,0.0,0.0,498.12246465682983,0.38732843924593524,0.34175125081313396,0.3453507368813832,440,239,Early stopping due to no improvement (AdaptiveES).,1.1320974908091805,98.94545454545455
39638131,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,0.0005,32,0.0001,0.0,564.6526470184326,0.38732843924593524,0.33580434615265037,0.36317872612940444,500,299,Early stopping due to no improvement (AdaptiveES).,1.1293060693740844,98.666
39638132,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,0.0005,32,0.0015,0.0,364.98524618148804,0.38732843924593524,0.3367631474071735,0.3407263251740911,320,109,Early stopping due to no improvement (AdaptiveES).,1.1405800804495811,98.721875
39638133,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,0.0005,64,0.0,0.0,827.8281383514404,0.38732843924593524,0.3387989305234108,0.3521344510648645,430,229,Early stopping due to no improvement (AdaptiveES).,1.9251826330672863,99.78372093023256
39638134,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,0.0005,64,0.0001,0.0,581.3720180988312,0.38732843924593524,0.34641730685563,0.35259158949310776,300,99,Early stopping due to no improvement (AdaptiveES).,1.9379074358940125,99.69
39638135,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,0.0005,64,0.0015,0.0,618.7800624370575,0.38732843924593524,0.3423339781287756,0.3562596364495624,320,109,Early stopping due to no improvement (AdaptiveES).,1.9336885333061218,99.70625
39638136,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-05,2,0.0,0.0,93.77155041694641,0.38732843924593524,0.346133414129692,0.3475926108543218,240,39,Early stopping due to no improvement (AdaptiveES).,0.3907162795464198,54.78333333333333
39638137,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-05,2,0.0001,0.0,95.07060050964355,0.38732843924593524,0.34618915821140034,0.34627427822981405,240,39,Early stopping due to no improvement (AdaptiveES).,0.3961288859446844,53.74166666666667
39638138,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-05,2,0.0015,0.0,93.61431384086609,0.38732843924593524,0.34617186634395514,0.34861675963527744,240,39,Early stopping due to no improvement (AdaptiveES).,0.39006100793679555,55.9875
39638139,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-05,4,0.0,0.0,203.00840735435486,0.38732843924593524,0.33853909493370804,0.34736795997746484,520,309,Early stopping due to no improvement (AdaptiveES).,0.39040158436848565,76.97307692307692
39638140,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-05,4,0.0001,0.0,230.3553295135498,0.38732843924593524,0.3374676938315056,0.3459849440479336,580,379,Early stopping due to no improvement (AdaptiveES).,0.3971651130709155,77.01551724137931
39638141,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-05,4,0.0015,0.0,217.80984926223755,0.38732843924593524,0.3370030010433348,0.3439240193207908,550,339,Early stopping due to no improvement (AdaptiveES).,0.39601865941827946,75.83272727272727
39638142,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-05,8,0.0,0.0,265.6647901535034,0.38732843924593524,0.3382363362231573,0.3682274842984734,540,329,Early stopping due to no improvement (AdaptiveES).,0.4919725700660988,88.90185185185184
39638143,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-05,8,0.0001,0.0,267.5924367904663,0.38732843924593524,0.3351948775887381,0.351114694551083,520,309,Early stopping due to no improvement (AdaptiveES).,0.5146016153005454,88.64807692307693
39638144,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-05,8,0.0015,0.0,291.5738248825073,0.38732843924593524,0.3367080922814429,0.3415366840515739,600,399,Early stopping due to no improvement (AdaptiveES).,0.4859571266174316,88.37166666666667
39638145,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-05,16,0.0,0.0,252.43490076065063,0.38732843924593524,0.3424706071392974,0.34570775990634117,350,139,Early stopping due to no improvement (AdaptiveES).,0.7212436349051339,96.51714285714286
39638146,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-05,16,0.0001,0.0,259.18744826316833,0.38732843924593524,0.34213828408784047,0.35059700706632063,360,149,Early stopping due to no improvement (AdaptiveES).,0.719965699646208,96.36111111111111
