dataset,model,finetuning_place, eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
'bitbrains_rnd/H/short', 'tabpfn_ts_local',-1, 2082661.428413111, 2082661.428413111, 203.77398711558544, 6.803728012715545, 3.4463677594811126, 0.6442184296930578, 217.4398690579727, 1443.1428995124188, 6.31589941259362, 0.8918146678059519, 0.7534436158258703, 'Web/CloudOps', 2
'bitbrains_rnd/H/short', 'tabpfn_ts_local',1, 1848959.8370060953, 1848959.8370060953, 143.6209443997485, 6.718008411547248, 0.9460670517389187, 0.5828626086159473, 224.05970751559195, 1359.764625590067, 5.950995291548384, 0.6285555218939056, 0.628617343003377, 'Web/CloudOps', 2
'bitbrains_rnd/H/short', 'tabpfn_ts_local',2, 1791507.046332211, 1791507.046332211, 140.06839442319168, 6.667597928192728, 0.7210453296173671, 0.5937041828444655, 224.69350303111418, 1338.4719071882723, 5.857807937966245, 0.6130078250457796, 0.5921233542802884, 'Web/CloudOps', 2
'bitbrains_rnd/H/short', 'tabpfn_ts_local',3, 1949617.1341375047, 1949617.1341375047, 151.44107258455523, 6.796846307146848, 1.5659301244003032, 0.5899671281711124, 220.31984698462043, 1396.2869096777727, 6.110834675918464, 0.6627802289728199, 0.6432624336163951, 'Web/CloudOps', 2
'bitbrains_rnd/H/short', 'tabpfn_ts_local',4, 1782812.4560334173, 1782812.4560334173, 139.46720675569296, 6.624338405754374, 0.9439054928671948, 0.5963408718584446, 227.18164287806172, 1335.2200028584866, 5.843576013564827, 0.6103767336706312, 0.5693208520021976, 'Web/CloudOps', 2
'bitbrains_rnd/H/short', 'tabpfn_ts_local',5, 1805301.367205149, 1805301.367205149, 138.85129302019843, 6.474546781761379, 0.8441375054854419, 0.5734923542743409, 228.10551561322004, 1343.615036833523, 5.880316789665066, 0.6076811938169323, 0.5879342755594786, 'Web/CloudOps', 2
