dataset,model,finetuning_place, eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
'solar/D/short', 'tabpfn_ts_local',-1, 117111.76253041363, 117111.76253041363, 256.18147810218977, 0.998390550247466, 0.9912451231276612, 0.44117253435789233, 5.129659313104967, 342.2159589066729, 0.49438551122814767, 0.3700949874557823, 0.27268752287128334, 'Energy', 1
'solar/D/short', 'tabpfn_ts_local', 1, 124559.78588807787, 124559.78588807787, 264.2198600973236, 1.0330778131217724, 0.9559858707325882, 0.45809024708694496, 5.3922698125745745, 352.9302847420123, 0.5098640630539957, 0.3817077117857869, 0.27679125991998743, 'Energy', 1
'solar/D/short', 'tabpfn_ts_local', 2, 130379.80729927008, 130379.80729927008, 295.9634428223844, 1.1527190795179558, 0.8048667295135721, 0.5215377621987151, 4.971320506108548, 361.08144136644586, 0.5216397083153854, 0.4275663778277819, 0.29724876841758935, 'Energy', 1
'solar/D/short', 'tabpfn_ts_local', 3, 149898.6394160584, 149898.6394160584, 324.1226657542579, 1.26527432681292, 0.8009303777467305, 0.5739211479242701, 5.260602564125373, 387.16745655602097, 0.5593251160813054, 0.4682468647034925, 0.3305042079196287, 'Energy', 1
'solar/D/short', 'tabpfn_ts_local', 4, 126217.17956204379, 126217.17956204379, 299.19096715328465, 1.169642686152272, 0.841244454859527, 0.523488555685447, 4.970447218866581, 355.27057232768914, 0.5132449815773813, 0.43222905127945616, 0.3040424035708566, 'Energy', 1
'solar/D/short', 'tabpfn_ts_local', 5, 143068.32506082725, 143068.32506082725, 304.0155641727494, 1.1851508029619668, 0.784755675230003, 0.5449835487235781, 5.1938353317091845, 378.24373763596833, 0.5464333814163255, 0.439198950846847, 0.30896555101413786, 'Energy', 1
