dataset,model,finetuning_place, eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
'hospital/M/short', 'tabpfn_ts_local', -1, 3643.3427653737504, 3643.3427653737504, 18.777851129603977, 0.7641135406495067, 0.1928042171831392, 0.17381567376844265, 5.258458411325157, 60.36010905700677, 0.21912121234953028, 0.06816796008356751, 0.05374897326662861, 'Healthcare', 1
'hospital/M/short', 'tabpfn_ts_local', 1, 6531.702344089526, 6531.702344089526, 24.008861848449044, 0.9526019931361001, 0.239354839432711, 0.21282096905896894, 6.403448385238795, 80.81894792738598, 0.29339154828128405, 0.08715774370778484, 0.06962217437976391, 'Healthcare', 1
'hospital/M/short', 'tabpfn_ts_local', 2, 4096.520425901782, 4096.520425901782, 20.000205095101315, 0.8377226105062004, 0.2050474863993194, 0.19623443407890123, 5.641645725851125, 64.00406569821781, 0.2323496211354915, 0.0726053888262338, 0.05711397187131836, 'Healthcare', 1
'hospital/M/short', 'tabpfn_ts_local', 3, 4277.0430044002605, 4277.0430044002605, 20.853960192239786, 0.901098277024474, 0.21593867421720092, 0.21397682730398299, 7.208763594073202, 65.39910553211153, 0.23741393968054217, 0.07570471808287729, 0.06041010464818351, 'Healthcare', 1
'hospital/M/short', 'tabpfn_ts_local', 4, 4994.0775342242505, 4994.0775342242505, 20.36120748706405, 0.8675936817593337, 0.20871555074719128, 0.20329125349234622, 7.775240053809911, 70.66878755309341, 0.2565441091115404, 0.07391591133892915, 0.05980074299913861, 'Healthcare', 1
'hospital/M/short', 'tabpfn_ts_local', 5, 5988.651713928727, 5988.651713928727, 21.664523406942635, 0.8891823172185538, 0.21328450285419595, 0.20208338041608098, 5.828256867228605, 77.38637938247743, 0.28093052737221214, 0.07864725077651236, 0.06230964507067582, 'Healthcare', 1
