dataset,model,finetuning_place, eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
'saugeen/M/short', 'tabpfn_ts_local', -1,396.755859375, 396.755859375, 12.083041236514138, 0.7080097703342377, 0.3163373810904367, 0.3478184881664458, 4.990244293169397, 19.918731369617895, 0.5980200713503675, 0.3627691467043583, 0.2802139136739202, 'Nature', 1
'saugeen/M/short', 'tabpfn_ts_local',1, 380.0913318452381, 380.0913318452381, 11.69170415969122, 0.6851409111243989, 0.31817106973557246, 0.336025873819987, 4.442309071243054, 19.495931161276655, 0.5853263407072182, 0.3510200336578995, 0.27561632503150374, 'Nature', 1
'saugeen/M/short', 'tabpfn_ts_local',2, 399.83482142857144, 399.83482142857144, 12.382183256603422, 0.7254915307361406, 0.32431016649518696, 0.3718228340148926, 4.928261263666726, 19.99587010931436, 0.6003360077301071, 0.3717502875650937, 0.28465886097036575, 'Nature', 1
'saugeen/M/short', 'tabpfn_ts_local',3, 346.0897972470238, 346.0897972470238, 11.670129685174851, 0.6838195009262472, 0.3228887603396461, 0.34560671306791757, 4.89144113634287, 18.603488846101524, 0.5585325451037908, 0.35037230321010077, 0.2723919742440675, 'Nature', 1
'saugeen/M/short', 'tabpfn_ts_local',4, 328.0773111979167, 328.0773111979167, 11.659854707263765, 0.6832739518996189, 0.31863055910382954, 0.3545907111394973, 5.156152080789085, 18.112904548909782, 0.5438037327629874, 0.35006381754856497, 0.2767226689350334, 'Nature', 1
'saugeen/M/short', 'tabpfn_ts_local',5, 428.8940662202381, 428.8940662202381, 12.525424049014138, 0.7337905352078204, 0.3152711050851004, 0.3721725373041062, 4.641386149874604, 20.70975775377969, 0.6217690564598312, 0.3760508058716159, 0.29192524819341403, 'Nature', 1
