dataset,model,finetuning_place, eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
'electricity/D/short', 'tabpfn_ts_local',-1, 1680339607.8472073, 1680339607.8472073, 4627.7437117117115, 1.5132466602580654, 0.24144819167397039, 0.09768155512079463, 14.767405290778328, 40991.94564603158, 0.6736338335159039, 0.07604920156677836, 0.06270593840093679, 'Energy', 1
'electricity/D/short', 'tabpfn_ts_local', 1, 1660327906.357045, 1660327906.357045, 4803.475736486486, 1.5918753384378594, 0.33213837085307385, 0.10303124615093609, 13.429148508714674, 40747.121448723774, 0.669610558700065, 0.07893706247835243, 0.063087613056081, 'Energy', 1
'electricity/D/short', 'tabpfn_ts_local', 2, 1377306991.8051171, 1377306991.8051171, 4600.241463963964, 1.5636049271777135, 0.2503600301447033, 0.10204632870785825, 13.040622139626695, 37112.086869443454, 0.6098748657483808, 0.07559724827964735, 0.05963081901162756, 'Energy', 1
'electricity/D/short', 'tabpfn_ts_local', 3, 1817978566.6975136, 1817978566.6975136, 4875.758774774775, 1.61169078254353, 0.3720921837624142, 0.10671697365700662, 13.286420832665485, 42637.75986959814, 0.7006800282549788, 0.08012491290635548, 0.06376379410061911, 'Energy', 1
'electricity/D/short', 'tabpfn_ts_local', 4, 1522875873.57982, 1522875873.57982, 4760.373479729729, 1.5798233725194843, 0.3824673256872704, 0.10494306629627674, 13.86054119999905, 39024.042250641076, 0.6412946437718278, 0.07822874922328127, 0.060950970494214704, 'Energy', 1
'electricity/D/short', 'tabpfn_ts_local', 5, 1610672520.547171, 1610672520.547171, 4675.840425675676, 1.547157473678692, 0.4745266889787017, 0.10255414588172157, 13.380887548784917, 40133.18477952094, 0.6595215398576251, 0.07683959034429177, 0.06055605060303669, 'Energy', 1
