dataset,model,finetuning_place, eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
'ett1/H/short', 'tabpfn_ts_local',-1, 113.33184872581845, 113.33184872581845, 5.342315528506324, 0.8897082691970181, 0.48314160846528553, 0.2718796230497814, 6.411961372346625, 10.64574322092255, 0.49688036269812336, 0.24934770850334328, 0.19449204868053144, 'Energy', 7
'ett1/H/short', 'tabpfn_ts_local', 1, 140.85082426525298, 140.85082426525298, 5.72537347702753, 0.9095014351028442, 0.6572617303757441, 0.27834547133672805, 6.024841443658057, 11.868058993165352, 0.5539308373939622, 0.26722658914565894, 0.204852054064676, 'Energy', 7
'ett1/H/short', 'tabpfn_ts_local', 2, 133.7601829892113, 133.7601829892113, 5.507393609909784, 0.8964605426854868, 0.5891454969133649, 0.2689804849170503, 5.93676237288262, 11.565473746855824, 0.5398079467875184, 0.2570525775067639, 0.19813749444446563, 'Energy', 7
'ett1/H/short', 'tabpfn_ts_local', 3, 152.5139601934524, 152.5139601934524, 5.971984136672247, 0.9690368906510739, 0.646715868087042, 0.28674286433628626, 6.856807747809195, 12.349654254004538, 0.5764088572854409, 0.2787369169327002, 0.2181160162782259, 'Energy', 7
'ett1/H/short', 'tabpfn_ts_local', 4, 130.51371140252976, 130.51371140252976, 5.840789358956473, 0.9552435420070186, 0.6526403654189337, 0.2873226892380487, 6.861278831768968, 11.424259774818225, 0.5332169133398786, 0.2726135202489068, 0.21126169731406189, 'Energy', 7
'ett1/H/short', 'tabpfn_ts_local', 5, 121.33070940290179, 121.33070940290179, 5.636838785807291, 0.9572123353273246, 0.5396933555603027, 0.29038775307791576, 6.490076451133594, 11.015021988307685, 0.5141161126187513, 0.2630943131202124, 0.203834078582171, 'Energy', 7
