dataset,model,finetuning_place, eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
'm_dense/H/short', 'tabpfn_ts_local',-1, 67628.62583333334, 67628.62583333334, 106.33297309027778, 0.901537585444107, 0.30156770167128993, 0.23818305333455403, 10.147407844132205, 260.05504385289925, 0.46127289949873584, 0.1886082195637701, 0.15481463658701594, 'Transport', 1
'm_dense/H/short', 'tabpfn_ts_local', 1, 60048.72375, 60048.72375, 109.01834743923611, 0.9556373283200523, 0.35673015741580083, 0.24740960862901476, 9.955110629112832, 245.04841103341192, 0.4346548692163725, 0.1933714050564699, 0.15812877134076708, 'Transport', 1
'm_dense/H/short', 'tabpfn_ts_local', 2, 55531.2975, 55531.2975, 102.52391710069445, 0.9001330814461775, 0.31594712653923845, 0.23683418273925783, 8.815195854062845, 235.6507956702035, 0.4179858393727789, 0.18185190261395548, 0.14870508115189812, 'Transport', 1
'm_dense/H/short', 'tabpfn_ts_local', 3, 59968.00013888889, 59968.00013888889, 110.81204318576388, 0.9435940982403576, 0.34493036484936107, 0.2858538140190972, 8.854075860134493, 244.88364612380488, 0.43436261728976466, 0.19655297471788138, 0.15978450152529974, 'Transport', 1
'm_dense/H/short', 'tabpfn_ts_local', 4, 75944.96833333334, 75944.96833333334, 125.30846137152778, 1.0243183890388228, 0.37705885230992, 0.30605053371853297, 9.323929679558056, 275.5811465491305, 0.48881234000524953, 0.2222660112728498, 0.17889761865594153, 'Transport', 1
'm_dense/H/short', 'tabpfn_ts_local', 5, 65025.15694444445, 65025.15694444445, 112.56519639756945, 0.9415856223447219, 0.3300936551084413, 0.24813702477349175, 8.965564021260441, 255.00030773401912, 0.4523070561479885, 0.19966263201694345, 0.16054383032133726, 'Transport', 1
