dataset,model,finetuning_place, eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
'm_dense/D/short', 'tabpfn_ts_local',-1, 7575.918518518519, 7575.918518518519, 42.895390625, 0.6891832821503865, 0.12168118510094283, 0.09918932879412616, 6.465493410193179, 87.03975251871135, 0.15067868647582086, 0.07425826623131503, 0.0616648393250298, 'Transport', 1
'm_dense/D/short', 'tabpfn_ts_local', 1, 8715.222222222223, 8715.222222222223, 45.58851273148148, 0.6870902100727345, 0.12456408953825751, 0.09986706769024885, 8.39825825950392, 93.3553545449977, 0.16161192778323707, 0.07892045896257754, 0.06508811484149891, 'Transport', 1
'm_dense/D/short', 'tabpfn_ts_local', 2, 8297.83111111111, 8297.83111111111, 46.68382523148148, 0.7272088821069911, 0.12604001824991892, 0.10547954418041088, 7.790804610460314, 91.09243168952682, 0.1576944735902789, 0.08081660691801973, 0.06776804993113648, 'Transport', 1
'm_dense/D/short', 'tabpfn_ts_local', 3, 10719.226666666667, 10719.226666666667, 60.112372685185186, 0.9009112046283213, 0.14716771764168482, 0.13246463351779514, 7.702132737380303, 103.53369821785884, 0.17923214625521056, 0.10406340890274876, 0.08422991285824738, 'Transport', 1
'm_dense/D/short', 'tabpfn_ts_local', 4, 12862.4, 12862.4, 65.58302662037038, 0.8840826288570437, 0.14367017470261537, 0.1270975070529514, 7.837408636487242, 113.4125213545665, 0.1963338503742114, 0.11353392008027396, 0.08936925830577674, 'Transport', 1
'm_dense/D/short', 'tabpfn_ts_local', 5, 8887.416296296296, 8887.416296296296, 49.04661458333333, 0.7605736059368418, 0.13028180325269875, 0.10940916838469329, 7.65740913115093, 94.27309423317077, 0.1632006709349472, 0.08490694478840323, 0.07014639426156634, 'Transport', 1
